No,Judul Buku,Pengarang,Rak,Jumlah Eksemplar,Status
1,Sistem Digital,Hidayat ,Ilmu Teknik dan Ilmu yang Berkaitan,8,TERSEDIA
2,Sistem Berkas,Wahyuni ,Ilmu Umum dan Komputer,12,TERSEDIA
3,Sistem Operasi,"Dony Ariyus,Abas Ali Pangera",Sistem Operasi,2,TERSEDIA
4,Sistem Basis Data,Edhy Sutanta,Basis Data,1,TERSEDIA
5,Sistem Kamera,Enche Tjin,multimedia,3,TERSEDIA
6,Sistem Informasi Manajemen,Jaluanto Sunu Punjul Tyoso,SIM,10,TERSEDIA
7,Sistem Informasi Bisnis,"Tata Sutabri,Darmawan Napitupulu",Ilmu Umum dan Komputer,10,TERSEDIA
8,Sistem Operasi Lanjut,Bambang Hariyanto,"Makalah,pik",4,TERSEDIA
9,Sistem Manajemen Database,Raghu Ramakhrisnan,Basis Data,17,TERSEDIA
10,Sistem Informasi Keprilakuan,jogiyanto HM. ,perilaku organisasi,5,TERSEDIA
11,Sistem Informasi Akuntansi,"Faiz Zamzani,Nabella Duta Nusa,Ihda Arifin Faiz ",Manajemen,5,TERSEDIA
12,Sistem Informasi Kesehatan,Diana Barsasella,Kesehatan,2,TERSEDIA
13,Sistem Informasi Manajemen Obat,"H. Boy S. Sabarguna,H. Sulanto Saleh Danu",Manajemen,2,TERSEDIA
14,Sistem Informasi Keperilakuan,jogiyanto HM. ,perilaku organisasi,1,TERSEDIA
15,Sistem jaringan komputer untuk pemula,MADCOMS,Internet,2,TERSEDIA
16,Sistem Kendali,Heru Dibyo Laksono,ansi,10,TERSEDIA
17,"Sistem Informasi Manajemen, edisi 9","Raymond McLeod, Jr,George P. Schell",SIM,5,TERSEDIA
18,Sistem Pengendalian Manajemen,"Abdul Halim,Muhammad Fakhri Husein,Achmad Tjahjono",Manajemen,2,TERSEDIA
19,Manajemen Sistem Informasi,Zulkifli Amsyah,SIM,2,TERSEDIA
20,Sistem Basis Data Konsep dan Peranannya dalam Sistem Informasi Manajemen,Edhy Sutanta,Basis Data,53,TERSEDIA
21,"Sistem Akuntansi, Edisi 4",Mulyadi ,akuntansi,10,TERSEDIA
22,Sistem Operasi Ed. Revisi Kelima,Bambang Hariyanto,Sistem Operasi,5,TERSEDIA
23,"Sistem Informasi Akuntansi, Edisi 9",George H. Bodnar,akuntansi,5,TERSEDIA
24,Sistem Operasi Windows 98,Mico Pardosi,Tidak ada info rak,1,TERSEDIA
25,Sistem Bantu Keputusan Untuk Fasilitas Rumah Sakit,H. Boy S. Sabarguna,Kesehatan,2,TERSEDIA
26,Analisis dan Perancangan Sistem,Noor Fuad,ansi,1,TERSEDIA
27,Sistem Perencanaan dan Penganggaran Pemerintah Daerah,"Suryo Sakti Hadiwijoyo,Fahima Diah Anisa",Ilmu Ekonomi,4,TERSEDIA
28,The Essence of Information Systems; Sistem Informasi,"Chris Edwards,John Ward",SIM,2,TERSEDIA
29,Sistem Informasi Manajemen Berbasis Komputer,Bambang Hartono,SIM,1,TERSEDIA
30,"Sistem Informasi Manajemen, Ed. 2, Cet. 11",Sondang P. Siagian,SIM,10,TERSEDIA
31,Sistem Operasi Andal Android,Yuniar Supardi ,Sistem Operasi,6,TERSEDIA
